Intel(R) Parallel Studio XE 2020 Update 4 for Linux*
Copyright 2009-2020 Intel Corporation.
ARGUMENTS:
MAXNUM: 1000000000001
SEGMENT LENGTH: 100000000
SAVE? false
START_NUM: 3
Initializing sieving primes
53307435.79s:	Starting main sieving!
53307744.6s: [37] 5.1%	Current number of primes found by process: 33625770	ETA: 213.2s
53307744.6s: [35] 5.1%	Current number of primes found by process: 33659954	ETA: 213.4s
53307744.6s: [56] 5.1%	Current number of primes found by process: 33340911	ETA: 215.0s
53307744.6s: [32] 5.1%	Current number of primes found by process: 33718325	ETA: 212.9s
53307744.6s: [61] 5.1%	Current number of primes found by process: 33288318	ETA: 214.6s
53307744.6s: [60] 5.1%	Current number of primes found by process: 33297882	ETA: 215.1s
53307744.6s: [47] 5.1%	Current number of primes found by process: 33465664	ETA: 213.0s
53307447.5s: [0] 5.1%	Current number of primes found by process: 36140581	ETA: 213.0s
53307744.6s: [51] 5.1%	Current number of primes found by process: 33412916	ETA: 215.1s
53307744.6s: [63] 5.1%	Current number of primes found by process: 33260720	ETA: 214.6s
53307744.6s: [43] 5.1%	Current number of primes found by process: 33526584	ETA: 213.1s
53307744.6s: [45] 5.1%	Current number of primes found by process: 33494871	ETA: 213.5s
53307744.6s: [52] 5.1%	Current number of primes found by process: 33398206	ETA: 215.1s
53307744.6s: [46] 5.1%	Current number of primes found by process: 33486486	ETA: 213.3s
53307744.6s: [41] 5.1%	Current number of primes found by process: 33561875	ETA: 213.3s
53307744.6s: [54] 5.1%	Current number of primes found by process: 33370951	ETA: 215.2s
53307744.6s: [39] 5.1%	Current number of primes found by process: 33590435	ETA: 213.3s
53307744.6s: [34] 5.1%	Current number of primes found by process: 33678694	ETA: 213.2s
53307744.6s: [49] 5.1%	Current number of primes found by process: 33438703	ETA: 214.7s
53307447.5s: [13] 5.1%	Current number of primes found by process: 34220417	ETA: 212.8s
53307447.5s: [30] 5.1%	Current number of primes found by process: 33757869	ETA: 214.7s
53307744.6s: [33] 5.1%	Current number of primes found by process: 33698595	ETA: 213.3s
53307744.6s: [59] 5.1%	Current number of primes found by process: 33308017	ETA: 214.7s
53307744.6s: [48] 5.1%	Current number of primes found by process: 33456232	ETA: 213.2s
53307744.6s: [57] 5.1%	Current number of primes found by process: 33338501	ETA: 214.7s
53307744.6s: [50] 5.1%	Current number of primes found by process: 33425612	ETA: 214.8s
53307744.6s: [53] 5.1%	Current number of primes found by process: 33387168	ETA: 215.0s
53307744.6s: [62] 5.1%	Current number of primes found by process: 33274360	ETA: 214.8s
53307744.6s: [55] 5.1%	Current number of primes found by process: 33361429	ETA: 214.8s
53307447.5s: [26] 5.1%	Current number of primes found by process: 33841129	ETA: 214.0s
53307447.5s: [4] 5.1%	Current number of primes found by process: 34803811	ETA: 212.7s
53307447.5s: [6] 5.1%	Current number of primes found by process: 34611449	ETA: 212.7s
53307447.5s: [21] 5.1%	Current number of primes found by process: 33963007	ETA: 213.8s
53307447.5s: [3] 5.1%	Current number of primes found by process: 34930727	ETA: 212.7s
53307447.5s: [12] 5.1%	Current number of primes found by process: 34269202	ETA: 213.0s
53307447.5s: [20] 5.1%	Current number of primes found by process: 33994036	ETA: 214.1s
53307447.5s: [29] 5.1%	Current number of primes found by process: 33776479	ETA: 214.3s
53307447.5s: [28] 5.1%	Current number of primes found by process: 33799542	ETA: 214.6s
53307447.5s: [1] 5.1%	Current number of primes found by process: 35385966	ETA: 212.6s
53307447.5s: [17] 5.1%	Current number of primes found by process: 34082804	ETA: 214.1s
53307447.5s: [27] 5.1%	Current number of primes found by process: 33821095	ETA: 214.1s
53307447.5s: [14] 5.1%	Current number of primes found by process: 34189110	ETA: 213.0s
53307447.5s: [5] 5.1%	Current number of primes found by process: 34695114	ETA: 213.0s
53307447.5s: [23] 5.1%	Current number of primes found by process: 33914686	ETA: 214.1s
53307447.5s: [16] 5.1%	Current number of primes found by process: 34116324	ETA: 214.0s
53307447.5s: [25] 5.1%	Current number of primes found by process: 33869026	ETA: 214.0s
53307447.5s: [31] 5.1%	Current number of primes found by process: 33739369	ETA: 214.0s
53307447.5s: [11] 5.1%	Current number of primes found by process: 34314116	ETA: 213.0s
53307447.5s: [7] 5.1%	Current number of primes found by process: 34540151	ETA: 212.8s
53307447.5s: [9] 5.1%	Current number of primes found by process: 34417237	ETA: 212.9s
53307447.5s: [15] 5.1%	Current number of primes found by process: 34154813	ETA: 212.9s
53307447.5s: [8] 5.1%	Current number of primes found by process: 34471208	ETA: 212.9s
53307447.6s: [2] 5.1%	Current number of primes found by process: 35108796	ETA: 212.9s
53307447.6s: [10] 6.4%	Current number of primes found by process: 42462728	ETA: 148.7s
53307453.1s: [18] 7.7%	Current number of primes found by process: 50163171	ETA: 203.9s
53307453.2s: [22] 7.7%	Current number of primes found by process: 50038166	ETA: 207.7s
53307750.3s: [38] 7.7%	Current number of primes found by process: 49669123	ETA: 207.2s
53307750.3s: [44] 7.7%	Current number of primes found by process: 49569043	ETA: 207.6s
53307453.2s: [19] 7.7%	Current number of primes found by process: 50128560	ETA: 208.0s
53307750.3s: [42] 7.7%	Current number of primes found by process: 49602159	ETA: 207.6s
53307750.3s: [40] 7.7%	Current number of primes found by process: 49637546	ETA: 207.3s
53307750.3s: [37] 7.7%	Current number of primes found by process: 49693982	ETA: 207.2s
53307750.3s: [36] 7.7%	Current number of primes found by process: 49714049	ETA: 207.5s
53307750.3s: [32] 7.7%	Current number of primes found by process: 49796434	ETA: 207.2s
53307453.2s: [24] 7.7%	Current number of primes found by process: 49984535	ETA: 208.2s
53307750.3s: [35] 7.7%	Current number of primes found by process: 49735201	ETA: 207.6s
53307750.3s: [46] 7.7%	Current number of primes found by process: 49537497	ETA: 207.0s
53307750.3s: [45] 7.7%	Current number of primes found by process: 49549324	ETA: 207.1s
53307750.3s: [39] 7.7%	Current number of primes found by process: 49652684	ETA: 207.2s
53307750.3s: [43] 7.7%	Current number of primes found by process: 49582674	ETA: 207.5s
53307750.3s: [34] 7.7%	Current number of primes found by process: 49753175	ETA: 207.3s
53307750.3s: [47] 7.7%	Current number of primes found by process: 49513240	ETA: 207.7s
53307750.3s: [41] 7.7%	Current number of primes found by process: 49622859	ETA: 207.4s
53307750.3s: [33] 7.7%	Current number of primes found by process: 49774054	ETA: 207.4s
53307750.4s: [61] 7.7%	Current number of primes found by process: 49311150	ETA: 208.5s
53307453.3s: [26] 7.7%	Current number of primes found by process: 49930493	ETA: 207.7s
53307453.3s: [30] 7.7%	Current number of primes found by process: 49835549	ETA: 208.2s
53307750.4s: [58] 7.7%	Current number of primes found by process: 49345560	ETA: 209.2s
53307453.3s: [21] 7.7%	Current number of primes found by process: 50067425	ETA: 207.5s
53307750.4s: [63] 7.7%	Current number of primes found by process: 49276885	ETA: 208.8s
53307750.4s: [60] 7.7%	Current number of primes found by process: 49320753	ETA: 209.0s
53307453.3s: [20] 7.7%	Current number of primes found by process: 50095213	ETA: 207.5s
53307750.4s: [52] 7.7%	Current number of primes found by process: 49435977	ETA: 208.7s
