ARGUMENTS:
MAXNUM: 1000000000001
SEGMENT LENGTH: 100000000
SAVE? false
START_NUM: 3
Initializing sieving primes
0.01s:	Starting main sieving!
33.0s: [10] 3.2%	Current number of primes found by process: 85992900	ETA: 1158.2s
36.4s: [11] 3.8%	Current number of primes found by process: 102366550	ETA: 761.3s
37.4s: [7] 3.8%	Current number of primes found by process: 102781736	ETA: 898.2s
37.4s: [15] 3.8%	Current number of primes found by process: 102035022	ETA: 898.9s
37.5s: [14] 3.8%	Current number of primes found by process: 102122102	ETA: 903.1s
37.5s: [12] 3.8%	Current number of primes found by process: 102283110	ETA: 903.3s
37.5s: [6] 3.8%	Current number of primes found by process: 102895806	ETA: 903.4s
37.5s: [3] 3.8%	Current number of primes found by process: 103379845	ETA: 903.9s
37.5s: [2] 3.8%	Current number of primes found by process: 103609399	ETA: 904.1s
37.5s: [1] 3.8%	Current number of primes found by process: 103943947	ETA: 896.6s
37.5s: [0] 3.8%	Current number of primes found by process: 104763279	ETA: 903.0s
37.5s: [4] 3.8%	Current number of primes found by process: 103192767	ETA: 904.9s
37.5s: [9] 3.8%	Current number of primes found by process: 102568971	ETA: 904.2s
37.5s: [13] 3.8%	Current number of primes found by process: 102191970	ETA: 902.2s
37.6s: [5] 3.8%	Current number of primes found by process: 103036480	ETA: 905.5s
38.3s: [8] 3.8%	Current number of primes found by process: 102656594	ETA: 811.1s
38.5s: [10] 3.8%	Current number of primes found by process: 102455730	ETA: 818.9s
43.4s: [7] 4.5%	Current number of primes found by process: 119143212	ETA: 894.9s
43.5s: [15] 4.5%	Current number of primes found by process: 118373557	ETA: 900.9s
43.5s: [14] 4.5%	Current number of primes found by process: 118462319	ETA: 904.1s
43.6s: [6] 4.5%	Current number of primes found by process: 119260235	ETA: 910.3s
43.6s: [1] 4.5%	Current number of primes found by process: 120323839	ETA: 908.7s
43.6s: [9] 4.5%	Current number of primes found by process: 118924732	ETA: 911.0s
43.6s: [12] 4.5%	Current number of primes found by process: 118627180	ETA: 917.2s
43.6s: [13] 4.5%	Current number of primes found by process: 118530129	ETA: 911.0s
43.6s: [3] 4.5%	Current number of primes found by process: 119752963	ETA: 916.3s
43.7s: [5] 4.5%	Current number of primes found by process: 119399282	ETA: 912.0s
43.7s: [2] 4.5%	Current number of primes found by process: 119987834	ETA: 918.7s
43.7s: [4] 4.5%	Current number of primes found by process: 119564592	ETA: 918.5s
43.7s: [0] 4.5%	Current number of primes found by process: 121147719	ETA: 923.0s
43.7s: [10] 4.5%	Current number of primes found by process: 118810153	ETA: 782.1s
43.8s: [11] 4.8%	Current number of primes found by process: 126851373	ETA: 732.0s
43.8s: [8] 4.5%	Current number of primes found by process: 119012366	ETA: 810.1s
48.4s: [7] 5.1%	Current number of primes found by process: 135406701	ETA: 746.3s
49.1s: [15] 5.1%	Current number of primes found by process: 134620566	ETA: 838.2s
49.6s: [14] 5.1%	Current number of primes found by process: 134707825	ETA: 895.2s
49.7s: [6] 5.1%	Current number of primes found by process: 135527107	ETA: 903.0s
49.7s: [11] 5.4%	Current number of primes found by process: 143065244	ETA: 879.4s
49.7s: [12] 5.1%	Current number of primes found by process: 134880320	ETA: 899.6s
49.7s: [3] 5.1%	Current number of primes found by process: 136027796	ETA: 898.7s
49.7s: [8] 5.1%	Current number of primes found by process: 135274529	ETA: 885.5s
49.7s: [9] 5.1%	Current number of primes found by process: 135186639	ETA: 905.0s
49.7s: [13] 5.1%	Current number of primes found by process: 134780085	ETA: 903.1s
49.7s: [10] 5.1%	Current number of primes found by process: 135065518	ETA: 893.1s
49.7s: [2] 5.1%	Current number of primes found by process: 136267753	ETA: 900.3s
49.7s: [4] 5.1%	Current number of primes found by process: 135841736	ETA: 899.9s
49.8s: [1] 5.1%	Current number of primes found by process: 136606068	ETA: 912.6s
49.8s: [5] 5.1%	Current number of primes found by process: 135671059	ETA: 904.5s
49.8s: [0] 5.1%	Current number of primes found by process: 137431462	ETA: 900.7s
55.3s: [14] 5.8%	Current number of primes found by process: 150869893	ETA: 839.7s
55.8s: [11] 6.1%	Current number of primes found by process: 159204026	ETA: 888.1s
55.8s: [6] 5.8%	Current number of primes found by process: 151713739	ETA: 897.8s
55.8s: [3] 5.8%	Current number of primes found by process: 152220302	ETA: 895.8s
55.8s: [8] 5.8%	Current number of primes found by process: 151454148	ETA: 893.9s
55.8s: [0] 5.8%	Current number of primes found by process: 153628194	ETA: 887.4s
55.8s: [13] 5.8%	Current number of primes found by process: 150948226	ETA: 894.2s
55.8s: [10] 5.8%	Current number of primes found by process: 151241874	ETA: 894.5s
55.8s: [4] 5.8%	Current number of primes found by process: 152028448	ETA: 894.1s
55.8s: [9] 5.8%	Current number of primes found by process: 151366200	ETA: 896.5s
55.8s: [1] 5.8%	Current number of primes found by process: 152805372	ETA: 893.3s
55.8s: [2] 5.8%	Current number of primes found by process: 152466095	ETA: 896.0s
55.8s: [5] 5.8%	Current number of primes found by process: 151859256	ETA: 894.8s
55.9s: [7] 6.1%	Current number of primes found by process: 159655295	ETA: 726.9s
56.1s: [15] 6.1%	Current number of primes found by process: 158844554	ETA: 679.6s
56.3s: [12] 5.8%	Current number of primes found by process: 151051343	ETA: 966.1s
60.5s: [14] 6.4%	Current number of primes found by process: 166966350	ETA: 766.6s
61.7s: [11] 6.7%	Current number of primes found by process: 175272347	ETA: 870.7s
61.8s: [3] 6.4%	Current number of primes found by process: 168339110	ETA: 883.8s
61.8s: [0] 6.4%	Current number of primes found by process: 169753020	ETA: 882.7s
61.8s: [8] 6.4%	Current number of primes found by process: 167560612	ETA: 883.9s
61.8s: [6] 6.4%	Current number of primes found by process: 167824564	ETA: 886.3s
61.9s: [13] 6.4%	Current number of primes found by process: 167047374	ETA: 884.1s
61.9s: [10] 6.4%	Current number of primes found by process: 167346539	ETA: 884.4s
61.9s: [9] 6.4%	Current number of primes found by process: 167473233	ETA: 885.1s
61.9s: [2] 6.4%	Current number of primes found by process: 168585529	ETA: 884.8s
61.9s: [4] 6.4%	Current number of primes found by process: 168141909	ETA: 888.3s
61.9s: [5] 6.4%	Current number of primes found by process: 167975722	ETA: 886.1s
61.9s: [12] 6.4%	Current number of primes found by process: 167151205	ETA: 824.6s
61.9s: [7] 6.7%	Current number of primes found by process: 175732214	ETA: 878.9s
63.0s: [1] 6.4%	Current number of primes found by process: 168927612	ETA: 1047.9s
63.1s: [15] 6.7%	Current number of primes found by process: 174904663	ETA: 1032.6s
65.7s: [14] 7.0%	Current number of primes found by process: 182995777	ETA: 755.5s
67.1s: [11] 7.4%	Current number of primes found by process: 191278624	ETA: 782.7s
67.8s: [7] 7.4%	Current number of primes found by process: 191744840	ETA: 859.0s
67.9s: [8] 7.0%	Current number of primes found by process: 183603839	ETA: 873.1s
67.9s: [3] 7.0%	Current number of primes found by process: 184391824	ETA: 874.2s
67.9s: [13] 7.0%	Current number of primes found by process: 183080908	ETA: 873.7s
67.9s: [6] 7.0%	Current number of primes found by process: 183872493	ETA: 874.4s
67.9s: [12] 7.0%	Current number of primes found by process: 183187595	ETA: 866.8s
67.9s: [10] 7.0%	Current number of primes found by process: 183388039	ETA: 873.4s
67.9s: [2] 7.0%	Current number of primes found by process: 184638512	ETA: 873.7s
67.9s: [9] 7.0%	Current number of primes found by process: 183514530	ETA: 874.2s
67.9s: [4] 7.0%	Current number of primes found by process: 184191857	ETA: 871.3s
67.9s: [5] 7.0%	Current number of primes found by process: 184029297	ETA: 872.7s
68.0s: [1] 7.0%	Current number of primes found by process: 184986077	ETA: 729.0s
68.7s: [0] 7.0%	Current number of primes found by process: 185812359	ETA: 1001.8s
69.9s: [15] 7.4%	Current number of primes found by process: 190904317	ETA: 971.6s
71.0s: [14] 7.7%	Current number of primes found by process: 198974467	ETA: 763.9s
73.9s: [7] 8.0%	Current number of primes found by process: 207706716	ETA: 877.0s
74.0s: [8] 7.7%	Current number of primes found by process: 199590231	ETA: 884.2s
74.0s: [3] 7.7%	Current number of primes found by process: 200390834	ETA: 884.8s
74.0s: [12] 7.7%	Current number of primes found by process: 199165953	ETA: 883.2s
74.0s: [13] 7.7%	Current number of primes found by process: 199059045	ETA: 884.7s
74.0s: [6] 7.7%	Current number of primes found by process: 199859904	ETA: 885.0s
74.0s: [10] 7.7%	Current number of primes found by process: 199369410	ETA: 885.3s
74.0s: [1] 7.7%	Current number of primes found by process: 200981033	ETA: 867.8s
74.0s: [4] 7.7%	Current number of primes found by process: 200184533	ETA: 884.7s
74.0s: [5] 7.7%	Current number of primes found by process: 200018440	ETA: 882.6s
74.0s: [2] 7.7%	Current number of primes found by process: 200634134	ETA: 885.4s
74.0s: [9] 7.7%	Current number of primes found by process: 199499263	ETA: 887.8s
74.2s: [0] 7.7%	Current number of primes found by process: 201810495	ETA: 782.2s
74.2s: [11] 8.3%	Current number of primes found by process: 215192426	ETA: 674.5s
77.1s: [14] 8.3%	Current number of primes found by process: 214896364	ETA: 873.6s
77.3s: [15] 8.3%	Current number of primes found by process: 214802975	ETA: 712.0s
80.0s: [7] 8.6%	Current number of primes found by process: 223614204	ETA: 863.5s
80.1s: [8] 8.3%	Current number of primes found by process: 215523324	ETA: 882.4s
80.1s: [3] 8.3%	Current number of primes found by process: 216330461	ETA: 882.4s
80.2s: [12] 8.3%	Current number of primes found by process: 215091157	ETA: 882.7s
80.2s: [11] 9.0%	Current number of primes found by process: 231067965	ETA: 848.2s
80.2s: [6] 8.3%	Current number of primes found by process: 215795046	ETA: 882.0s
80.2s: [1] 8.3%	Current number of primes found by process: 216926391	ETA: 879.0s
80.2s: [13] 8.3%	Current number of primes found by process: 214982873	ETA: 882.7s
80.2s: [10] 8.3%	Current number of primes found by process: 215299278	ETA: 882.3s
80.2s: [5] 8.3%	Current number of primes found by process: 215954316	ETA: 880.6s
80.2s: [4] 8.3%	Current number of primes found by process: 216120593	ETA: 881.2s
80.2s: [2] 8.3%	Current number of primes found by process: 216575183	ETA: 881.3s
80.2s: [9] 8.3%	Current number of primes found by process: 215430201	ETA: 881.5s
80.2s: [0] 8.3%	Current number of primes found by process: 217755458	ETA: 866.5s
83.9s: [15] 9.0%	Current number of primes found by process: 230674709	ETA: 939.0s
84.6s: [14] 9.0%	Current number of primes found by process: 230770421	ETA: 1061.0s
86.1s: [11] 9.6%	Current number of primes found by process: 246902711	ETA: 839.8s
86.1s: [8] 9.0%	Current number of primes found by process: 231407223	ETA: 851.6s
86.1s: [3] 9.0%	Current number of primes found by process: 232224023	ETA: 851.7s
86.1s: [1] 9.0%	Current number of primes found by process: 232822140	ETA: 850.4s
86.1s: [12] 9.0%	Current number of primes found by process: 230970723	ETA: 851.9s
86.1s: [13] 9.0%	Current number of primes found by process: 230860084	ETA: 851.3s
86.1s: [6] 9.0%	Current number of primes found by process: 231684006	ETA: 851.7s
86.2s: [10] 9.0%	Current number of primes found by process: 231182384	ETA: 851.8s
86.2s: [5] 9.0%	Current number of primes found by process: 231841158	ETA: 851.8s
86.2s: [2] 9.0%	Current number of primes found by process: 232465840	ETA: 851.9s
